Date,ticker_P,le cours d'ouverture_P,le plus haut_P,le plus bas_P,le cours de cl??ture_P,le volume de titres ??chang??s_P,Gtrends_P,nom_P,ISIN_P,ISIN_G,nom_G,Gtrends_G,le volume de titres ??chang??s_G,le cours de cl??ture_G,le plus haut_G,le plus bas_G,le cours d'ouverture_G,ticker_G
3/1/2017,AC,37.495,37.59,37.225,37.52,1199037,50,Accor Hotels,FR0000120404,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,GLE,42.6,44.185,42.51,43.97,6332074,90,Societe Generale,FR0000130809,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,ML,106.55,107.8,106.35,107.3,449706,79,Michelin,FR0000121261,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,FP,47.25,47.885,47.25,47.75,5646676,97,Total,FR0000120271,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,KER,215.0976,219.0017,215.0976,217.9792,274435,38,Kering,FR0000121485,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,BN,62.9,63.05,62.57,62.86,1734390,85,Danone,FR0000120644,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,MT,25.17,26.241,25.164,26.22,8433288,33,Arcelor Mittal,LU1598757687,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,STM,14.47,14.68,14.425,14.67,1809268,55,Stmicroelectronics,NL0000226223,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,DSY,76.8,77.39,76.48,77.03,292030,80,Dassault Systemes,FR0000130650,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,RMS,414.8,418.55,414.25,418.15,48458,74,Hermes,FR0000052292,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,AIR,69.69,71.4,69.64,71.12,2496301,99,Airbus,NL0000235190,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,EN,36.585,37.11,36.57,37.1,1015567,89,Bouygues,FR0000120503,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,CS,22.49,23.175,22.455,23.04,10396196,90,Axa,FR0000120628,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,DG,68.53,70.19,68.53,69.73,1798012,80,Vinci,FR0000125486,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,SW,104,104.95,103.95,104.55,203439,73,Sodexo,FR0000121220,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,RI,108.5,109.5,108.35,109,444710,61,Pernod Ricard,FR0000120693,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,SGO,45.76,46.28,45.575,46.1,1961186,76,Saint Gobain,FR0000125007,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,AI,93.4091,94.6364,93.1818,94.1364,1050933,82,Air Liquide,FR0000120073,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,ENGI,11.565,11.66,11.49,11.645,7716717,76,Engie,FR0010208488,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,RNO,84.4,87.15,84.38,86.4,1078135,85,Renault,FR0000131906,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,SU,64.25,65.81,64.25,65.27,1680806,82,Schneider Electric,FR0000121972,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,URW,215.7,218.35,215.65,217.35,282554,57,Unibail - Wfd Unibai,FR0013326246,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
3/1/2017,BNP,55.89,57.96,55.74,57.59,5436640,54,Bnp Paribas,FR0000131104,FR0003500008,CAC 40,41,3995369,4960.83,4970.64,4897.48,4897.48,PX1
